Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
SJPJPUpNvDw,UgyVD1zcoZwHpliUK1R4AaABAg,2023-06-25T09:58:08Z,2023-06-25T09:58:08Z,0,"It shouldn't be named Superman and Lois but - hyper emotional kryptonian and his 2 lil annoying twin kids! 

Evrything is all about his kids! What a boring show!"
SJPJPUpNvDw,UgzgjBdcByfmf_35v4l4AaABAg,2023-06-23T04:23:58Z,2023-06-23T04:23:58Z,0,"This superman is not the same one as the one on earth prime,after the rebirth of the multiverse,this superman is from earth-tud25"
SJPJPUpNvDw,UgyERdNXpYp2PPqtWD54AaABAg,2023-05-15T13:21:50Z,2023-05-15T13:21:50Z,0,Derek Hale > Superman
SJPJPUpNvDw,Ugz94QOkVWD_HzaTzuN4AaABAg,2023-05-11T09:04:07Z,2023-05-11T09:04:07Z,1,Derek
SJPJPUpNvDw,UgxHQJPPEqPuJVWussJ4AaABAg,2023-05-02T01:26:38Z,2023-05-02T01:26:38Z,0,‌
SJPJPUpNvDw,UgwQQis7QeC7B7Uu8gl4AaABAg,2023-04-07T22:32:59Z,2023-04-07T22:32:59Z,0,Why's derek gotta be superman💀
SJPJPUpNvDw,UgwjnCiVUD8Deka_s5Z4AaABAg,2023-03-11T18:56:03Z,2023-03-11T18:56:03Z,0,"A bit of spoiler.
Jordan finds out that his dad is Superman and he starts crying about everything he went through.  Boohoo, if I found out my dad was superman, I would be so happy that any ""emotional damage"" I experienced wouldn't matter anymore. Boohoo, I have super powers too. Woe is me. 🙄"
SJPJPUpNvDw,UgxXzeSptbakWRZidV14AaABAg,2023-03-08T21:30:21Z,2023-03-08T21:30:21Z,0,Only real superman is Tom Welling from Smallville
SJPJPUpNvDw,UgxnJJZH_5LvwA4cjyp4AaABAg,2023-02-15T01:27:30Z,2023-02-15T01:27:30Z,0,"Is this tv show for Teen Wolf or Superman fans? Hahahaha, both."
SJPJPUpNvDw,Ugx93Njrl2ptQQfR6nV4AaABAg,2023-02-15T01:25:52Z,2023-02-15T01:25:52Z,0,"Seeing Tyler Hoechlin still makes me think of him as a werewolf, not as Clark Kent/ Superman."
SJPJPUpNvDw,UgyyEUx5t7sd9cP77Pl4AaABAg,2023-02-15T01:23:03Z,2023-02-15T01:23:03Z,0,"Idk why I commented about Smallville, since this is the trailer of season 1 of Superman & Lois."
SJPJPUpNvDw,UgwcOYOwWchLz5c9YnJ4AaABAg,2023-02-12T12:28:09Z,2023-02-12T12:28:09Z,1,I cannot stress this enough that this is an amazing show and it delves right into what makes Superman great and hopeful
SJPJPUpNvDw,UgzzNhundNYnAzQNTON4AaABAg,2023-01-30T20:29:40Z,2023-01-30T20:29:40Z,0,The story great but the actor who is superman icant belive this is  superman he is sharokhan 😅🤦‍♂️
SJPJPUpNvDw,UgyzRM7aaUzQzJ-QHcV4AaABAg,2023-01-17T23:00:09Z,2023-01-17T23:00:09Z,0,I have to say revve was iconic as Superman but the character has had many comics since then and some of those things have been great to see in live action. Cavil has great action routh had a great ascetic. Welling had the heart  but Tyler is the most accurate and the best and that’s why and not why. He’s friendly hopeful but also this is a dark show at times. Ik he’s not gonna be gunned Superman and 3 will probably be it’s last season but u can’t really get better than here.
SJPJPUpNvDw,Ugye5jWPEPzQCcTYSKh4AaABAg,2023-01-01T02:44:40Z,2023-01-01T02:44:40Z,1,Bro this show was a banger
SJPJPUpNvDw,UgyrAihimYvgCF-Xvo54AaABAg,2022-12-16T22:45:14Z,2022-12-16T22:45:14Z,0,"I'm too scared to attempt watching a superhero show of some sort, because I'm worried that it'll get cancelled, instead of having a proper ending, so there's no point? Anyone know of a superhero show that has a proper ending? (Not including Smallville) I'm not interested in watching Smallville."
SJPJPUpNvDw,Ugwe3mD6AT27aB2nbnl4AaABAg,2022-10-31T07:36:58Z,2022-10-31T07:36:58Z,0,Please tell me where I can watch in dubbed
SJPJPUpNvDw,UgwYU2T2PITOxp13FYR4AaABAg,2022-10-24T21:56:42Z,2022-10-24T21:56:42Z,0,"Sometimes I like to fill up my bathtub with milk, lay in the fetal position and pretend that I'm a Cheerio."
SJPJPUpNvDw,Ugxu9rAo0cJ-hfzvAmp4AaABAg,2022-10-01T19:46:52Z,2022-10-01T19:46:52Z,2,YES A NEW SUPERMAN SHOW!
SJPJPUpNvDw,UgwSjL0MB1D8eNsB_RJ4AaABAg,2022-10-01T19:46:34Z,2022-10-01T19:46:34Z,3,SO HYPED FOR THIS SHOW!
SJPJPUpNvDw,UgxWE90xZuT5zoSNfK14AaABAg,2022-10-01T19:44:56Z,2022-10-01T19:44:56Z,2,GLAD THAT SUPERMAN IS GETTING A NEW SHOW!
SJPJPUpNvDw,Ugwmwn8AHwjBJ2yDqF14AaABAg,2022-10-01T19:42:07Z,2022-10-01T19:42:07Z,2,THIS SHOW IS AWESOME!!!!!!!!!!!!!!
SJPJPUpNvDw,Ugzbu--Ozuu0Zt3hsOR4AaABAg,2022-10-01T00:03:03Z,2022-10-01T00:03:03Z,0,Is this out now(1st Oct 2022)? Can't find anywhere to watch(I'm in Ireland)
SJPJPUpNvDw,Ugydyr6iIlF_cJnVcYJ4AaABAg,2022-09-21T13:50:47Z,2022-09-21T13:50:47Z,0,Cinematic but Superman doesn't look like Superman
SJPJPUpNvDw,Ugx5dFiYaM9GIci8r-l4AaABAg,2022-09-06T20:49:17Z,2022-09-06T20:49:17Z,0,"It's shot in Vancouver, where the weather seems to be set to permanent overcast. It's oddly depressing. Smallville managed to give their show a feeling of warmth despite also being shot in BC."
SJPJPUpNvDw,UgxxKLaDXf71s8L5AJJ4AaABAg,2022-09-05T18:57:19Z,2022-09-05T18:57:19Z,0,"Personally i like Tyler's Superman ♥️, Waiting for next season 🤜🏻"
SJPJPUpNvDw,UgwLN0EMc_uSwYNdNjN4AaABAg,2022-08-14T22:19:30Z,2022-08-14T22:19:30Z,1,I love Henry cavils Superman but if they can’t bring him back or something I don’t mind seeing Tyler’s Superman at all
SJPJPUpNvDw,Ugwk3Ui6bE6yOGV7E-h4AaABAg,2022-07-27T07:00:44Z,2022-07-27T07:00:44Z,1,"These are just scenes from ep1 
Expect how great the show is"
SJPJPUpNvDw,UgymyZIB1VLAPYwWlUl4AaABAg,2022-07-24T07:06:51Z,2022-07-24T07:06:51Z,0,I saw the first 4 parts of the series and was very surprised how good it is👩‍🚀
SJPJPUpNvDw,Ugy0M4HurDX4Zsci9sp4AaABAg,2022-07-16T16:42:40Z,2022-07-16T16:42:40Z,1,The effects for a tv show is like a movie insane visuals. Well done DC
SJPJPUpNvDw,UgxqfFDDklPCN-pvKp54AaABAg,2022-07-12T20:23:05Z,2022-07-12T20:23:05Z,1,Homelander!!
SJPJPUpNvDw,UgzPb0MdBrAEp4F8QyJ4AaABAg,2022-06-18T06:23:50Z,2022-06-18T06:23:50Z,1,"Dude, after 16 years living with him, you can't recognize your father in Superman without the glasses? Not even the voice? Come on... 🤣🤣🤣"
SJPJPUpNvDw,Ugwj1t5_yx--rjXLRtB4AaABAg,2022-06-17T02:12:29Z,2022-06-17T02:12:29Z,0,Henry Cavill 💔💔💔
SJPJPUpNvDw,UgwFy8ivvA6MYGjKAzl4AaABAg,2022-06-13T02:29:10Z,2022-06-13T02:29:10Z,0,Now I don't mind for not watching season 5 in Teen Wolf
SJPJPUpNvDw,UgwL_Nej9jNMtwVq-Ct4AaABAg,2022-05-26T22:48:12Z,2022-05-26T22:48:21Z,0,Hard to watch after seeing smallville. Might give it a go tho 🤷‍♀️😊
SJPJPUpNvDw,UgxYaQHBTYBzdkkSNJp4AaABAg,2022-05-10T01:18:47Z,2022-05-10T01:18:47Z,0,DC should save their TV shows man Marvel is really killing it. I hope one day Disney would acquire DC and make it closer to the Marvel Universe.
SJPJPUpNvDw,UgyLmZXDZTzyiogYMEJ4AaABAg,2022-05-03T22:29:50Z,2022-05-03T22:29:50Z,1,CW is really good with superman projects (Smallvile and superman & Lois)
SJPJPUpNvDw,Ugy5TdIZkzybzlc0rLB4AaABAg,2022-04-24T00:43:23Z,2022-04-24T00:43:23Z,0,Waw superman is a parent 😐
SJPJPUpNvDw,UgyNZRbrfTtR_O-6EzR4AaABAg,2022-04-22T07:50:19Z,2022-04-22T07:50:19Z,1,"I'm on the fence with this one. It looks pretty good but then I see ""from the creators of the flash"" 🤦‍♂️"
SJPJPUpNvDw,UgxqJ4hkGuC-9Ljx1014AaABAg,2022-04-14T20:25:51Z,2022-04-14T20:25:51Z,0,I love this so much about dc just a real serie feeling
SJPJPUpNvDw,Ugwk5rnZfjFvs5G6CNJ4AaABAg,2022-04-04T23:34:34Z,2022-04-04T23:34:34Z,0,Ok I guess I’ll watch this
SJPJPUpNvDw,UgyKugG-8OscQ4wPuB94AaABAg,2022-03-23T14:16:40Z,2022-03-23T14:16:40Z,0,What's the song?
SJPJPUpNvDw,UgxjJYhF14pgraGbZA94AaABAg,2022-03-14T21:38:40Z,2022-03-14T21:38:40Z,0,Seeing Superman makes me miss Teen Wolf so bad 🥺
SJPJPUpNvDw,Ugx5j6WW7_5k-H1YYot4AaABAg,2022-03-12T22:33:54Z,2022-03-12T22:33:54Z,0,El nuevo superman con el Batman de Pattinson
SJPJPUpNvDw,UgzKgyJC-isJyXY5wBV4AaABAg,2022-03-12T16:13:01Z,2022-03-12T16:13:01Z,0,I dont like lois actress. She played in grim her character feels so annoying since then
SJPJPUpNvDw,UgxbPocJoRPBXG3gveN4AaABAg,2022-03-04T06:56:56Z,2022-03-04T06:56:56Z,1,Very nice series after a long time. Hope the series continue.
SJPJPUpNvDw,UgwjvivS8EUJ8twixTd4AaABAg,2022-02-27T13:03:44Z,2022-02-27T13:03:44Z,0,The brothers and especially the little one is so annoying.. a disgusting character
SJPJPUpNvDw,UgzHv8G-F4oYIST6wp14AaABAg,2022-02-25T16:26:54Z,2022-02-25T16:26:54Z,0,it is launched on my birthday😁
SJPJPUpNvDw,UgxIpb6eFHqcJtlShtF4AaABAg,2022-02-14T12:40:18Z,2022-02-14T12:40:18Z,7,"I wish I could express how amazed I'm to watch this series! Full of amazing emotions! Friendship, love, Parenthood, neighborhood. I smiled, i cried. I felt all the emotions. 
I can't be thankful enough for the team superman Lois ❤️
Everytime i watch something good. I comment below the trailer. Guess sometimes it's fine not having someone close to you. Writing helps. 😊"
SJPJPUpNvDw,UgwrrxS9K1b3xdr2M794AaABAg,2022-02-13T15:43:43Z,2022-02-13T15:43:43Z,0,I wanna watch this movie after I'll say my opinion 😊
SJPJPUpNvDw,UgwOXVwbJa5-p0ID3uh4AaABAg,2022-02-05T18:14:54Z,2022-02-05T18:14:54Z,0,I want a hindi dubbed version please 🙏❤️
SJPJPUpNvDw,UgyLYfL5SGX0BE6Mgmh4AaABAg,2022-01-22T19:53:08Z,2022-01-22T19:53:08Z,0,0:51 now Ik there’s a character in the DC universe called the doomslayer but come on
SJPJPUpNvDw,UgzdEVqQIuz9MSPQeTR4AaABAg,2022-01-19T17:40:29Z,2022-01-19T17:40:29Z,0,Superman got kids now?!
SJPJPUpNvDw,UgwgcznSWnanmyB2Fc54AaABAg,2022-01-18T16:49:06Z,2022-01-18T16:49:06Z,0,it is derek hale!!!
SJPJPUpNvDw,Ugx9kBiBMddqMdBGDHl4AaABAg,2022-01-13T07:09:15Z,2022-01-13T07:09:15Z,0,]P Stop
SJPJPUpNvDw,UgyPxnGVoj2cLnXDJG54AaABAg,2022-01-10T21:44:00Z,2022-01-10T21:44:00Z,19,"This show is awesome, 15 episodes of greatness! 
The effects is surreal, just wow!
I can't wait for season 2 to come out in the UK"
SJPJPUpNvDw,Ugz5cdZuYVS3c-IqwKh4AaABAg,2022-01-01T18:40:02Z,2022-01-01T18:40:02Z,0,My god
SJPJPUpNvDw,UgwKUszhMV4kBgfkWf54AaABAg,2021-12-13T18:10:14Z,2021-12-13T18:10:14Z,0,Plz dun ever make the sons Superman's replacement . Let this show always mainly b about lois and clark. We r really interested in these two characters we have always loved . Thr sons r just tht. Thr sons. Not the main characters. Never let these two become supporting characters to thr sons.
SJPJPUpNvDw,UgxPBwH3vXxWazJKf294AaABAg,2021-12-04T13:39:26Z,2021-12-04T13:39:26Z,1,This show is OK except for the most powerful man in the universe has his home ran by his wife.
SJPJPUpNvDw,UgxqQsx6qj6hbbkVYzx4AaABAg,2021-11-27T03:22:25Z,2021-11-27T03:22:25Z,3,"You know what I'd love to see in the Arrowverse? A TV show about Batman and a TV show about Wonder Woman that are both the same caliber as Superman & Lois. Then we could have the REAL trinity in the Arrowverse. They have Superman, they have Bruce Wayne. They're half way there. Just make a spin-off of Batwoman about Batman just like Superman & Lois is a spin-off of Supergirl and make a show about Wonder Woman as well. She was even mentioned in Batwoman so she's clearly in the Arrowverse.
I'd love to see a Batman show that's as good as Superman & Lois and then have them do a crossover. That would be epic! And adding in Wonder Woman would just be even more epic."
SJPJPUpNvDw,UgyGFELsEl_ciEZ5g014AaABAg,2021-11-20T01:38:12Z,2021-11-20T01:38:12Z,2,I really hope supergirl makes an appearance in this series
SJPJPUpNvDw,UgytjZAhMZ6pTwJ43IZ4AaABAg,2021-11-16T17:32:20Z,2021-11-16T17:32:20Z,3,Finally airing in the UK. BBC One December 4th!
SJPJPUpNvDw,UgwioDVGqj8vNKhIkht4AaABAg,2021-11-10T06:44:08Z,2021-11-10T06:44:21Z,0,Netflix's or HBO Max should pick up the show as CW will ruin it
SJPJPUpNvDw,Ugy3v95-8kvps2hxK3V4AaABAg,2021-11-10T06:43:09Z,2021-11-10T06:44:49Z,0,Good start to the show and best superman adaption since superman returns but I believe that the show should NOT be part of the CW arrow verse as it's will ruin the asthethic of the show.
SJPJPUpNvDw,UgwwCPJ6TeoUPNDzlAt4AaABAg,2021-11-09T21:32:23Z,2021-11-09T21:32:23Z,0,"Now that i have HBOmax.. i started watch this tv-serie.. but i stopped 15min into it.. 2 things ruined serie for me near instant.. the Psycotic son and  littlebit that lois is below medium good looking, i know its wierd that that should ruin it, but it just seemed wierd/wrong ... oh well."
SJPJPUpNvDw,UgzgfmsedaPZpvQojvl4AaABAg,2021-11-08T18:48:00Z,2021-11-08T18:48:00Z,2,Visually this is better than any other dc shows.
SJPJPUpNvDw,UgwikOlN3dxZUTZccRR4AaABAg,2021-11-07T15:52:50Z,2021-11-07T15:52:50Z,25,"I just finished this show and I can say I loved it! Expectations surpassed. To be honest I only watched this for Tyler, but I ended up getting attached to the characters, and the storyline while enjoying the acting and beautiful cinematic shots! Now I'm eagerly waiting for season 2, I am so excited to see what happens! And Ian Bohen as well! (can you tell I'm a TW fan....?)"
SJPJPUpNvDw,Ugz8Xa45XxpBVXT83MB4AaABAg,2021-11-04T02:48:01Z,2021-11-04T02:48:01Z,0,Ain rave do you my like?
SJPJPUpNvDw,Ugw4EnOy-F-t9vRPEfl4AaABAg,2021-10-20T21:05:52Z,2021-10-20T21:05:52Z,1,"Dear CW: Please keep the entire show staff away from the Church of Twitter.

This is a good show.
Don't ruin it."
SJPJPUpNvDw,Ugyj7VCubh2QmO7EYtF4AaABAg,2021-10-20T02:27:20Z,2021-10-20T02:27:20Z,0,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 classic season     can't wait for season 2
SJPJPUpNvDw,Ugx6biQH4gvq4C5rVut4AaABAg,2021-10-15T12:39:57Z,2021-10-15T12:39:57Z,0,We need an series on Batman please🙏🙏🙏🙏
SJPJPUpNvDw,UgxrYxEgyx1TNCDjUHt4AaABAg,2021-10-04T16:18:42Z,2021-10-04T16:18:42Z,1,THIS IS SO FREAKIN GOOD!!!
SJPJPUpNvDw,Ugwr-vUnEoiEe8efsIZ4AaABAg,2021-10-03T20:49:13Z,2021-10-03T20:49:13Z,0,"Wow, he looks... nothing like Superman, other than the haircut.
Why isn't there more fan outrage, like the other times when a character looks nothing like themselves?

""Well, that only happens if the thing they changed is the color of the skin.""
Ah. Of course."
SJPJPUpNvDw,UgzrRca6s865rt12UxB4AaABAg,2021-10-01T20:11:18Z,2021-10-01T20:11:18Z,2,Best Superman suit on film...EVER!
SJPJPUpNvDw,UgzTG936pDKhT3NvLtl4AaABAg,2021-09-27T12:25:52Z,2021-09-27T12:25:52Z,2,I knew Derek was always hiding something
